Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDR09,OUT019,3673.424123591122
FDC53,OUT017,1661.9967572833536
FDY45,OUT013,4243.7479139630195
FDA22,OUT010,2424.707062180869
FDE02,OUT035,1147.4421771623688
FDW21,OUT045,1792.0196789501053
FDV34,OUT046,1232.0578681484762
FDS59,OUT049,1609.1728003060373
NCW17,OUT017,2092.3737942694825
NCK54,OUT046,1823.6185608306148
FDG17,OUT019,3772.040033618221
FDG35,OUT017,2577.5125126131707
FDD08,OUT010,782.3292303182759
NCO07,OUT017,3427.336457595179
FDJ10,OUT010,1667.550912919651
FDW36,OUT017,1547.418666662231
FDW21,OUT010,1731.0818060995205
FDY19,OUT017,1836.912016692973
DRE03,OUT013,1211.2685383014073
NCC55,OUT049,416.9427600047501
FDH52,OUT010,1115.0542193660308
FDO09,OUT017,3716.6265147826543
FDU43,OUT045,3697.164007000795
FDX09,OUT010,2675.2375999713577
FDH40,OUT019,924.679684374926
FDW58,OUT017,1784.5728415834967
FDC47,OUT017,3166.6586040761176
NCR41,OUT035,1613.987436039257
DRG49,OUT035,3713.5561127063647
FDC52,OUT027,2937.970101843538
FDY13,OUT046,1160.0019830681063
FDY35,OUT013,1202.3972580746222
FDI35,OUT017,2824.5138190585467
NCU18,OUT049,2053.8804948916
FDY33,OUT018,2350.0150358702676
FDC15,OUT027,2234.061175968328
FDU01,OUT049,2706.415536017379
NCU42,OUT046,2681.0666948330645
NCV29,OUT018,2993.8516543294245
NCY30,OUT017,2913.8255986869744
FDQ46,OUT049,1376.5050116531138
FDG58,OUT027,2598.290271478105
FDK33,OUT017,3453.0508987276644
NCD07,OUT045,1791.064760872999
NCX29,OUT027,2441.868577169319
NCT42,OUT013,2777.282275845202
DRN59,OUT035,648.0078616298197
FDI44,OUT035,993.4658164014941
FDA45,OUT049,2160.2164328550334
FDP31,OUT045,523.0032546418511
FDY01,OUT046,1137.484455378239
FDT09,OUT018,2348.484885995863
DRH03,OUT027,1780.5133301478984
FDA36,OUT018,3213.8842733490646
NCF31,OUT017,2335.702345229167
FDG14,OUT049,2231.415357217115
FDG28,OUT027,4192.964754647113
FDU14,OUT049,3836.747854199045
FDY47,OUT019,1867.523863811497
FDI56,OUT049,1088.231691556051
DRD01,OUT013,1185.0553182985248
FDM22,OUT046,689.346746013118
FDH33,OUT013,683.3712867169982
DRZ24,OUT013,2049.6579524978715
NCQ38,OUT046,1713.0302729181872
FDO16,OUT027,1848.935295783382
FDU07,OUT027,2652.2869903207175
NCB07,OUT013,3248.163278623194
FDU48,OUT045,2046.6881892089634
NCM43,OUT045,2725.1160271786994
FDR31,OUT010,2325.91801501799
DRK49,OUT018,816.8346420126544
NCI30,OUT010,3804.490142833146
DRD60,OUT017,2834.2020472901713
NCG19,OUT046,3103.5259657150673
FDH12,OUT035,1467.2951686084127
FDM32,OUT035,1559.741599728459
FDM27,OUT035,1916.6975357546278
NCU53,OUT027,2880.188552112085
NCQ18,OUT046,1053.1256157460857
FDS10,OUT013,3206.5407410169173
FDB33,OUT027,2988.6904154398962
FDI12,OUT013,1458.6963648594042
NCW42,OUT013,3753.9721220885976
NCC06,OUT018,2214.7349092050513
FDW02,OUT017,1975.2817055157254
NCD43,OUT017,1742.4029246960579
FDM57,OUT018,1279.3450443642616
FDA58,OUT017,3386.5835987781793
FDK56,OUT046,2409.5572598179224
FDP52,OUT045,3534.2637840163734
FDW20,OUT018,2155.769425477519
FDS52,OUT049,1652.4715557818718
NCT29,OUT018,1905.1410717849187
NCL54,OUT013,2946.3465078590434
FDC05,OUT045,2869.2428259346225
FDF34,OUT035,3219.2249691507295
FDP03,OUT027,2261.9025407989993
FDD32,OUT010,1442.0013365241032
FDZ10,OUT045,1927.5047876422416
FDZ40,OUT035,886.8394143075509
FDD51,OUT018,465.7535089444265
NCY30,OUT019,2850.8183566487432
FDP58,OUT017,2946.2199037350965
FDV49,OUT017,4176.050809022446
FDY24,OUT019,4.719464860106484
NCO55,OUT017,1436.4282297593725
FDR13,OUT017,1874.398652726739
FDS51,OUT017,1011.7585186543171
FDP26,OUT045,1229.8039746635627
NCB54,OUT027,2387.6826704618115
FDF32,OUT017,2937.505764128191
FDN31,OUT018,2938.128230782155
DRM48,OUT017,232.39311436836346
FDN20,OUT049,2619.64364542207
DRL01,OUT046,3452.499948933035
FDV56,OUT049,1720.9031780501948
DRH13,OUT027,2175.5737983972776
FDA03,OUT017,2244.8238941975987
FDF47,OUT027,3633.943623830579
FDX32,OUT046,1949.9243210546936
FDX57,OUT049,1397.4542592461728
NCA30,OUT045,2607.728755241198
FDO49,OUT013,1204.7947482851125
FDL04,OUT019,997.4229500762995
DRM48,OUT035,287.71708691401005
FDR16,OUT013,3396.291043219596
NCC19,OUT018,2880.7373007949745
NCE42,OUT045,3856.8859992363023
FDY24,OUT017,428.0525919626387
FDH19,OUT049,2687.0457084160835
FDJ46,OUT013,3073.0263311491144
FDN45,OUT010,3031.882777133297
FDY08,OUT035,1608.4525039955981
FDZ37,OUT035,1485.1799435531004
NCT30,OUT045,617.2295099705526
DRY23,OUT018,487.5812496269939
NCZ30,OUT018,2111.196744319355
FDC44,OUT018,1297.9790182277998
FDB45,OUT035,1756.9874237367146
FDY04,OUT013,2926.1311044770127
FDM27,OUT046,2301.2437020898287
FDZ43,OUT017,3672.4979239514223
FDT39,OUT019,2534.616859713139
NCC06,OUT019,2023.3070680038268
FDL15,OUT027,2780.5533542748026
FDL57,OUT017,3877.8780768001843
FDU08,OUT046,1547.0727944314406
FDK40,OUT017,4191.067129107588
FDQ12,OUT010,3745.210094721051
FDS48,OUT017,2413.6957842638703
FDP09,OUT045,3385.7022466550206
FDW21,OUT049,1629.0297282840577
FDY25,OUT035,2883.004203706627
DRE13,OUT017,1396.8164502366492
FDV43,OUT019,315.29773469792036
FDD22,OUT045,1524.5941453630996
FDM46,OUT019,413.2855522073011
NCO30,OUT010,3214.5281900831606
FDM25,OUT046,2555.0870168267465
NCN41,OUT049,1782.9586679476183
FDU24,OUT045,1050.035286080401
FDZ50,OUT046,2624.245293404313
FDP45,OUT013,4348.612299963928
NCM54,OUT045,1974.9276276417274
FDW10,OUT019,2420.6206446625993
FDP20,OUT017,1969.4840863758084
FDK32,OUT046,2257.6858368187027
FDN52,OUT049,868.6103711816927
FDM58,OUT045,1672.6582677263007
FDZ46,OUT027,2014.1503714712528
NCA18,OUT018,1900.9401672285362
FDD35,OUT046,1912.359616174006
NCK31,OUT035,875.6630647220534
FDI40,OUT027,1593.3539919400428
FDT50,OUT019,912.968008273235
NCT06,OUT046,2517.8233082134084
FDT31,OUT035,3088.3014595843624
FDT45,OUT049,678.0206659884175
FDT13,OUT045,3070.2117724086766
FDO50,OUT045,1302.8199530107959
NCU18,OUT010,2218.7694702007175
NCR54,OUT049,2723.5955263264896
NCO18,OUT018,2994.7063998900103
FDU09,OUT045,819.3250815364196
FDT13,OUT018,3166.4641302774317
FDE09,OUT046,1783.1019393101421
NCK53,OUT019,1539.9189402131528
FDG45,OUT049,3121.6327149008275
DRH15,OUT035,421.8050719828812
FDO21,OUT019,3671.27310019939
FDD14,OUT027,2685.498924252115
FDC09,OUT046,1614.2131763445147
FDH45,OUT027,798.4717422219001
FDV32,OUT046,740.1048558053421
FDG12,OUT035,2051.1015145057063
FDS32,OUT013,2628.768525464592
NCL55,OUT018,3937.964127942744
DRE01,OUT035,3231.400462114324
DRE15,OUT049,1232.5500222327046
NCL42,OUT045,3896.6266841373226
FDP31,OUT013,835.892309468456
FDN33,OUT018,1222.1290596648937
FDZ59,OUT046,2215.215976656982
FDE45,OUT010,2919.572646130636
FDJ07,OUT013,2362.24840163553
FDQ45,OUT018,3154.7872551560586
FDM33,OUT027,3607.0140716540845
FDO15,OUT010,1577.3758191246427
FDM46,OUT013,1284.5527122808724
FDR03,OUT045,3403.8832333455275
FDY49,OUT018,2870.1166632171253
FDQ60,OUT045,1588.5935251121352
FDW10,OUT049,2545.9643059085765
FDO51,OUT049,617.9725522685364
FDJ40,OUT018,1801.7367181714098
FDS20,OUT018,2919.642349624245
FDU45,OUT013,2171.8811884544434
FDV02,OUT035,2578.3650434811234
FDN09,OUT046,3736.5871541185925
NCM55,OUT027,3200.8049541290457
FDN23,OUT018,2236.227992352546
FDY31,OUT010,2380.8476969047733
FDW03,OUT010,1930.6634607740623
FDD14,OUT046,2197.0846531358407
FDV23,OUT017,1654.0229984781738
DRI03,OUT045,2874.0302737361144
FDN13,OUT035,1067.0624936461468
FDF45,OUT027,1486.8717886234954
FDU46,OUT035,1538.291484969737
FDB57,OUT049,3480.32132634923
FDV12,OUT049,1360.6605540881528
FDQ58,OUT013,2865.1297898182065
NCA18,OUT017,1735.600489783443
FDH52,OUT049,766.9287149955833
FDM24,OUT018,2303.4897830405284
NCP43,OUT027,3282.8105805353534
NCO18,OUT019,2812.938382454525
FDM32,OUT017,1517.7728347517516
NCL07,OUT017,642.7232826852937
FDK03,OUT013,4174.737939522059
FDP59,OUT017,1521.7528367549787
FDQ24,OUT049,3700.849353000106
FDQ16,OUT018,1850.794267288106
FDU44,OUT013,2812.259303833832
FDH28,OUT010,213.39810398488646
FDV28,OUT019,-468.819045691725
FDM22,OUT045,896.4754510396566
FDR56,OUT046,2714.2000801793465
FDV39,OUT049,3138.3622404375737
FDU37,OUT019,675.6162550905144
FDQ11,OUT010,4139.8955251644265
FDX02,OUT045,3455.1367500086544
NCS42,OUT018,1458.4999921287902
FDY57,OUT027,1522.6745431098948
FDB21,OUT049,3178.363593560536
FDE28,OUT017,3143.0308260043994
FDQ55,OUT017,1895.598310487024
FDA48,OUT049,3036.452216705441
FDZ19,OUT045,2523.6765899760376
NCC43,OUT045,3735.923948501437
NCV18,OUT046,924.6447210743625
NCA42,OUT018,2678.886202257597
FDY45,OUT046,3994.941547261684
NCC30,OUT045,2899.8314205036004
FDM57,OUT013,1565.112252675628
FDL09,OUT010,2058.5554749258354
FDB09,OUT027,2285.0700988374065
FDT44,OUT035,1597.5542402072558
NCT06,OUT027,2983.1428188287537
FDX26,OUT049,2553.8698653306537
FDK32,OUT013,2738.6176681932966
DRA12,OUT046,2168.70757610495
FDO46,OUT010,3271.644517366104
FDE52,OUT013,1798.2312037179781
NCH42,OUT045,3653.9811816671518
FDV08,OUT035,753.4814167749742
FDB47,OUT018,3278.1672076811683
FDC28,OUT010,1755.5539689399668
FDD22,OUT046,1443.8507829951598
FDS07,OUT027,1940.9902657391651
DRI13,OUT045,3524.221617597149
FDG32,OUT018,2980.6933349931005
FDU14,OUT017,3916.645153761174
FDD28,OUT019,756.3166760369263
NCP41,OUT017,1823.061150098417
FDS08,OUT049,2569.0763054239815
FDX47,OUT045,2536.973630821273
FDC53,OUT019,1763.6793361396358
FDQ19,OUT035,3904.684619570853
FDL14,OUT045,2507.5950700175563
FDM33,OUT019,2992.144188683522
FDA51,OUT045,1244.7371991961722
FDZ27,OUT018,1021.1052614693737
FDT04,OUT046,286.55452481462225
DRC13,OUT049,1904.4780052490364
FDR16,OUT027,3457.8773897687142
FDQ03,OUT027,3916.0370179098936
FDE38,OUT035,2627.2784285630914
DRH23,OUT027,712.7845526557821
FDT11,OUT019,2949.3800812001646
FDD09,OUT035,2919.334580342448
FDR40,OUT045,1221.8844244113784
FDX07,OUT017,2937.2745937725967
FDR07,OUT035,1376.576577013783
FDA51,OUT017,1201.3504047641636
FDT59,OUT019,3717.6808898480167
FDF20,OUT017,3068.547048770829
FDR13,OUT045,1903.0955712739894
FDY26,OUT049,3237.4954621517054
FDW04,OUT017,1942.5085147635762
FDK52,OUT017,3346.5826276339076
FDN60,OUT049,2114.1637719153555
FDM09,OUT019,2227.3219367621964
FDP46,OUT049,1136.4372189246951
FDB50,OUT019,255.60537845643938
NCQ29,OUT049,3647.1857954924208
FDP16,OUT027,4237.101380034999
FDX33,OUT018,2296.069265519447
FDP07,OUT010,3193.3736472417495
FDN22,OUT046,3393.285005518288
FDF39,OUT049,3871.5765025140645
FDS21,OUT017,1044.4880338984408
NCM42,OUT013,2123.7580717419764
FDK50,OUT019,2581.60633594706
DRF13,OUT027,2755.924427322543
FDH35,OUT018,2606.655086309396
FDP60,OUT018,1628.2415517591107
DRJ49,OUT027,2569.0126814375953
NCT42,OUT019,2375.1666164869284
FDE38,OUT049,2512.6950426608946
FDI04,OUT049,2860.529907029768
NCH54,OUT045,2365.208243326394
FDT56,OUT049,496.8691021308648
DRD15,OUT018,3682.7787037132784
FDV58,OUT013,3292.537415394986
FDP21,OUT049,2901.214885913655
FDH05,OUT013,3779.107518050184
FDR10,OUT027,3073.680929537377
NCP06,OUT045,2389.95887258929
FDF33,OUT049,1671.5234685207329
DRK37,OUT013,3207.4387957372655
DRH49,OUT045,1257.4813744134995
FDT58,OUT013,2790.1036858881635
FDD41,OUT018,1556.7066588255777
FDP40,OUT018,1897.0885402170284
FDM51,OUT027,2072.2250924373825
FDO45,OUT010,1514.1247882692662
FDW33,OUT010,1350.054118395497
FDY24,OUT045,790.6428850803835
FDB10,OUT010,3628.7327557987137
FDM40,OUT035,1687.075446321933
NCI06,OUT017,2780.551191986023
FDW12,OUT019,2213.866395626892
FDX48,OUT027,2841.139301027276
NCW05,OUT027,1590.9694631187451
FDX27,OUT017,1141.7686407890455
DRM37,OUT045,2880.3658828757534
FDA38,OUT045,3881.4172946331655
FDR36,OUT046,199.7459154583691
FDZ45,OUT046,2914.1416919606563
FDG05,OUT017,2245.736870863324
FDK28,OUT013,4296.01975751393
FDV47,OUT045,1333.5461894929324
FDN21,OUT045,2386.473090722744
FDP20,OUT027,2376.4923448783165
FDI35,OUT045,2881.312873773005
DRY23,OUT013,758.6125722368605
FDA56,OUT017,2062.13170522598
FDB09,OUT013,2236.767543008391
NCO26,OUT027,2079.4874683882294
FDQ49,OUT018,2590.2273977316536
FDI52,OUT027,2029.0864219861094
FDZ44,OUT027,2257.98918906357
FDZ09,OUT018,2404.967797365114
FDY03,OUT049,1520.4576668763666
NCG42,OUT017,2021.6955217922748
DRI13,OUT027,3901.437163806112
FDQ32,OUT013,2324.6139711309543
FDW16,OUT035,1451.813826347883
FDU27,OUT046,76.05247188281493
FDR28,OUT010,2792.3025315804343
FDQ49,OUT010,2616.1954167448584
FDS37,OUT046,1795.8425511209666
FDW26,OUT018,3263.8858465340427
FDX12,OUT018,3961.9486479006464
NCP06,OUT013,2747.70493757631
FDW45,OUT010,2417.8314991759426
NCN30,OUT049,1508.0096845570608
FDN24,OUT049,417.3819160318627
NCL41,OUT027,932.3167520715294
FDR02,OUT019,1796.1747334685292
FDD09,OUT010,3106.642321897619
FDS33,OUT010,1506.6539909124742
FDU22,OUT045,1675.9570256634481
FDI53,OUT013,2473.0782090357725
DRH01,OUT049,2389.777302935324
FDX32,OUT013,2345.833607419363
NCP30,OUT018,811.0289826611609
FDB60,OUT045,3160.0700841823427
FDB14,OUT049,1091.174999211253
NCP02,OUT035,926.16595036833
FDJ10,OUT017,1770.7750910086
FDG34,OUT046,1551.7895391044606
NCB18,OUT017,1369.3990072716686
FDM16,OUT049,1116.2373677510232
FDW25,OUT018,1476.4335859729058
FDB35,OUT010,1382.3817016974033
DRN11,OUT013,2056.624625332695
FDF41,OUT019,3057.621918401488
FDH16,OUT045,1378.8416685978234
NCQ50,OUT018,3480.348891204194
DRH23,OUT018,437.9804376792677
DRJ37,OUT013,2664.205726724398
DRJ24,OUT027,2955.6706493715974
FDY16,OUT035,2648.2186390755123
FDQ27,OUT045,1681.1883604305046
FDZ33,OUT045,2059.5092731522627
FDF29,OUT045,2199.4203343884756
FDA08,OUT049,2416.963411994666
FDG31,OUT046,849.2277803527561
FDE34,OUT019,2815.019737274015
NCR30,OUT027,1431.3798733113122
FDV33,OUT035,4107.418301261353
DRZ24,OUT018,1905.2773270197654
NCL54,OUT035,2538.5440814797203
FDR12,OUT049,2654.0377891727258
NCC54,OUT046,3438.717045654309
DRN59,OUT013,1000.3008411137298
FDX50,OUT019,1381.08879689457
FDV31,OUT027,2887.7993340937956
NCA29,OUT027,3168.3007421723387
FDW60,OUT049,2782.820741247013
FDX08,OUT017,2922.273082103905
DRD49,OUT013,3478.3517621893543
FDD33,OUT046,3224.868483441671
FDW35,OUT013,1197.5367752452792
FDJ36,OUT017,1196.3151280975571
FDV51,OUT035,2661.7033897653664
FDW36,OUT046,1529.5331807169794
FDH35,OUT046,2425.0358944948903
NCS30,OUT027,2215.617000817101
FDN49,OUT017,208.25154360762866
FDL08,OUT018,3927.328779796492
FDI09,OUT013,3713.500157187691
FDP19,OUT018,1543.3549119718402
FDU21,OUT010,386.018529845388
NCP41,OUT045,1849.997511789263
FDY10,OUT013,2111.4289240960925
FDP12,OUT018,698.5152117710293
NCN26,OUT049,1787.3193803004121
FDK44,OUT013,2729.884810485245
FDC28,OUT049,1557.008773834323
FDJ41,OUT027,4590.088063511761
NCT29,OUT035,1851.0693742057772
NCH42,OUT019,3520.813600084085
FDU60,OUT018,2657.2500144667183
FDS02,OUT045,2570.841999232818
FDC51,OUT046,2006.944203327936
FDU03,OUT013,2998.676443343503
FDX39,OUT045,3306.9955204096323
NCY05,OUT010,611.4507018556908
NCL06,OUT027,4311.319199243046
FDD32,OUT035,1169.4741535845842
NCN41,OUT045,1916.4073697703986
NCX53,OUT049,2245.4262717435804
FDU57,OUT019,1872.3120506857395
FDQ23,OUT046,1642.616707359747
FDQ52,OUT045,3559.839511180013
FDC14,OUT045,687.2160056280733
FDY09,OUT035,2857.2991879218907
FDQ28,OUT045,2400.1585273946666
FDV25,OUT046,3357.403521827572
FDJ07,OUT035,1968.5953532158744
DRB25,OUT049,1442.6201660413844
FDK52,OUT019,3126.85282932072
FDY52,OUT027,1561.4599016036643
FDB28,OUT046,2775.885656409364
FDT36,OUT035,276.7066665089887
FDV25,OUT017,3429.816336409689
NCN07,OUT027,2480.7487652927966
FDC57,OUT017,2940.766153248509
FDQ03,OUT018,3651.258312805955
FDU23,OUT017,2689.1188808134757
NCX41,OUT035,3447.080807849052
NCD06,OUT035,496.80010536003437
FDW08,OUT045,1219.6080740196485
NCU29,OUT017,2330.0261449007603
NCE06,OUT013,2663.810368930265
FDV52,OUT010,1352.6032889724156
FDB02,OUT017,2801.802565810247
NCR18,OUT045,826.8249614063651
FDK16,OUT049,1279.6400737359763
NCQ29,OUT010,3668.530635708331
FDZ01,OUT019,1809.2845131095805
FDW27,OUT035,1966.6271976156347
FDD17,OUT018,3881.2716268010417
FDW39,OUT013,3159.8700108964686
DRH59,OUT045,1110.5867631851206
FDS52,OUT013,2144.8694041290137
FDU40,OUT027,3469.0790370202503
NCF54,OUT013,3064.828794502524
FDH46,OUT045,1658.374214030798
NCP14,OUT049,1214.264232727991
FDH50,OUT049,2686.8026608921573
DRF15,OUT010,2591.44182175039
FDV27,OUT027,1786.8639341750722
NCJ06,OUT049,1822.9848458118176
FDN02,OUT018,3186.4364814140145
FDQ51,OUT049,752.857079902676
FDQ07,OUT017,3243.8196750181323
FDS45,OUT049,1614.3403931595906
NCJ06,OUT045,1973.5160869032418
FDD36,OUT035,1952.196973873057
FDY25,OUT045,2928.336458215117
FDU52,OUT046,2249.222810332398
DRK47,OUT017,3419.991272884544
NCL30,OUT017,1962.4210256477115
FDN22,OUT035,3494.484009265073
NCF30,OUT027,1988.600303217462
